text,label
"Officials set out a plan to expand renewable energy capacity, the agency confirmed in a written notice. Analysts said the move was broadly in line with expectations.",0
"The president unveiled a relief package for areas hit by drought, the agency confirmed in a written notice. The measure is expected to take effect later this year.",0
MUST SEE: the news you watch is scripted by the same twelve families and they don't want you to know. Number 7 will leave you speechless. Save this post before it vanishes tonight!,1
"The Federal Reserve held its benchmark interest rate steady on Wednesday and signalled patience before any further move, citing mixed labour-market data and slowly easing inflation. The chair told reporters policymakers wanted to see more figures first.",0
"The prime minister presented the annual budget to parliament, officials said at a news conference on Wednesday. The measure is expected to take effect later this year.",0
"The prime minister issued a flood warning for low-lying coastal areas, according to documents seen by local media. Several economists welcomed the decision while urging caution.",0
"The prime minister unveiled a relief package for areas hit by drought, according to preliminary data reviewed on Friday. Further talks are scheduled in the coming weeks.",0
THEY LIED: the election was stolen by a hidden algorithm nobody is allowed to mention and they don't want you to know. Big corporations have tried to bury this a thousand times. Watch before this is scrubbed from the internet!,1
"The finance ministry unveiled a relief package for areas hit by drought, officials said at a news conference on Wednesday. Critics argued the plan did not go far enough.",0
"The defence ministry unveiled a relief package for areas hit by drought, according to figures published this week. The measure is expected to take effect later this year.",0
"URGENT: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. This is the truth THEY have hidden for years. The powerful don't want you to see this, hurry!",1
"BREAKING: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. Insiders who spoke out have already gone missing. The powerful don't want you to see this, hurry!",1
"BANNED VIDEO: this stock will make you a millionaire overnight, guaranteed and they don't want you to know. This is the truth THEY have hidden for years. Do this NOW, you won't believe what happens next!",1
BANNED VIDEO: vaccines contain microchips that track your every move and they don't want you to know. Number 7 will leave you speechless. Watch before this is scrubbed from the internet!,1
THEY LIED: free unlimited energy exists but big corporations buried it and they don't want you to know. Wake up before it is too late. Spread the truth before your account is shadow-banned!,1
"The finance ministry imposed new limits on certain imports, according to figures published this week. Critics argued the plan did not go far enough.",0
"The finance ministry presented the annual budget to parliament, according to documents seen by local media. The measure is expected to take effect later this year.",0
"THEY LIED: the news you watch is scripted by the same twelve families and they don't want you to know. Big corporations have tried to bury this a thousand times. The powerful don't want you to see this, hurry!",1
"The finance ministry reported progress in talks over the disputed border, a spokesperson told reporters on Thursday. The measure is expected to take effect later this year.",0
"Lawmakers raised the minimum wage for the coming year, according to preliminary data reviewed on Friday. Several economists welcomed the decision while urging caution.",0
THEY LIED: vaccines contain microchips that track your every move and they don't want you to know. The mainstream media is PAID to keep you in the dark. Click now before THEY ban it!,1
"The defence ministry opened a review of housing affordability rules, according to a statement released on Tuesday. The opposition called for further details before giving its support.",0
"BANNED VIDEO: the government is hiding aliens who advise world leaders and they don't want you to know. Wake up before it is too late. The powerful don't want you to see this, hurry!",1
"THEY LIED: a banned remedy reverses aging in just three days and they don't want you to know. Insiders who spoke out have already gone missing. Do this NOW, you won't believe what happens next!",1
"SHOCKING: this one weird trick cures every disease overnight and doctors hate it and they don't want you to know. The mainstream media is PAID to keep you in the dark. Do this NOW, you won't believe what happens next!",1
